"x" "y" "z"
"290" 19547 105 12
"291" 19546 391 9
"292" 19541 489 9
"293" 19527 967 11
"294" 19535 798 9
"295" 19550 190 10
"296" 19526 686 13
"297" 19536 761 10
"298" 19550 246 6
"299" 19544 617 11
"300" 19536 811 11
"301" 19543 665 12
"302" 19538 914 11
"303" 19560 70 11
"304" 19540 570 1
"305" 19560 130 1
"306" 19545 700 10
"307" 19549 541 12
"308" 19555 493 12
"309" 19546 991 10
"310" 19564 408 12
"311" 19553 472 11
"312" 19571 173 12
"313" 19560 254 12
"314" 19572 276 7
"315" 19577 46 1
"316" 19567 346 10
"317" 19557 449 1
"318" 19581 17 11
"319" 19579 102 11
"320" 19574 379 1
"321" 19559 886 8
"322" 19567 536 12
"323" 19575 480 10
"324" 19589 187 13
"325" 19573 883 10
"326" 19568 799 12
"327" 19593 134 10
"328" 19568 933 10
"329" 19584 658 12
"330" 19602 29 10
"331" 19600 76 10
"332" 19599 420 11
"333" 19580 679 10
"334" 19596 531 13
"335" 19606 214 5
"336" 19597 633 7
"337" 19586 607 1
"338" 19601 376 10
"339" 19611 81 13
"340" 19579 941 12
"341" 19614 106 1
"342" 19606 236 12
"343" 19601 623 12
"344" 19617 29 11
"345" 19593 530 1
"346" 19617 66 10
"347" 19593 555 9
"348" 19618 342 11
"349" 19605 643 1
"350" 19602 813 12
"351" 19587 912 11
"352" 19617 266 12
"353" 19620 443 10
"354" 19627 136 7
"355" 19612 555 12
"356" 19626 14 10
"357" 19622 494 1
"358" 19630 71 13
"359" 19627 278 5
"360" 19622 635 13
"361" 19618 663 10
"362" 19632 126 12
"363" 19632 157 8
"364" 19615 569 10
"365" 19627 453 11
"366" 19637 10 12
"367" 19603 950 11
"368" 19614 972 11
"369" 19628 544 8
"370" 19628 611 10
"371" 19631 412 1
"372" 19615 892 11
"373" 19641 237 12
"374" 19645 189 7
"375" 19623 747 12
"376" 19650 87 8
"377" 19638 589 12
"378" 19654 36 1
"379" 19639 699 11
"380" 19660 13 10
"381" 19660 65 10
"382" 19647 524 13
"383" 19645 679 11
"384" 19651 350 7
"385" 19653 561 1
"386" 19657 307 10
"387" 19668 83 12
"388" 19655 390 11
"389" 19668 136 8
"390" 19671 107 1
"391" 19664 214 10
"392" 19657 616 1
"393" 19660 419 11
"394" 19662 266 6
"395" 19657 842 11
"396" 19663 254 5
"397" 19643 945 11
"398" 19658 644 12
"399" 19679 271 11
"400" 19669 334 13
"401" 19674 166 11
"402" 19667 589 10
"403" 19681 189 1
"404" 19658 891 10
"405" 19678 451 9
"406" 19682 252 7
"407" 19667 700 12
"408" 19667 741 10
"409" 19676 530 13
"410" 19685 193 13
"411" 19671 493 10
"412" 19687 312 11
"413" 19681 821 12
"414" 19702 69 9
"415" 19696 274 13
"416" 19696 411 12
"417" 19698 309 10
"418" 19694 635 11
"419" 19686 366 0
"420" 19693 423 1
"421" 19700 130 11
"422" 19702 238 11
"423" 19717 15 10
"424" 19704 515 11
"425" 19714 308 9
"426" 19713 166 12
"427" 19709 415 12
"428" 19705 479 1
"429" 19728 46 1
"430" 19726 208 10
"431" 19709 862 10
"432" 19702 901 12
"433" 19726 418 1
"434" 19731 139 1
"435" 19692 968 12
"436" 19726 594 1
"437" 19713 994 12
"438" 19735 253 10
"439" 19737 166 10
"440" 19742 113 11
"441" 19716 689 10
"442" 19738 102 10
"443" 19729 626 9
"444" 19739 386 10
"445" 19740 502 11
"446" 19752 194 1
"447" 19728 810 10
"448" 19752 287 10
"449" 19752 418 11
"450" 19736 549 12
"451" 19758 324 12
"452" 19733 741 11
"453" 19741 845 10
"454" 19765 143 10
"455" 19746 965 9
"456" 19752 988 11
"457" 19767 44 10
"458" 19757 253 1
"459" 19745 694 10
"460" 19769 210 12
"461" 19758 622 11
"462" 19756 456 1
"463" 19738 810 12
"464" 19756 534 12
"465" 19753 717 12
"466" 19748 570 10
"467" 19767 361 11
"468" 19748 663 9
"469" 19767 603 7
"470" 19754 841 11
"471" 19779 192 11
"472" 19762 990 12
"473" 19786 397 10
"474" 19786 430 9
"475" 19795 34 8
"476" 19791 259 10
"477" 19796 177 1
"478" 19789 387 11
"479" 19796 300 0
"480" 19797 106 11
"481" 19777 531 1
"482" 19788 474 11
"483" 19779 648 1
"484" 19776 806 10
"485" 19799 221 7
"486" 19793 617 11
"487" 19785 230 7
"488" 19775 488 10
"489" 19794 714 11
"490" 19811 13 12
"491" 19810 33 12
"492" 19802 355 10
"493" 19788 839 12
"494" 19811 127 8
"495" 19805 236 1
"496" 19792 976 9
"497" 19814 216 10
"498" 19818 227 12
"499" 19822 57 12
"500" 19813 436 1
"501" 19803 662 11
"502" 19824 273 10
"503" 19768 943 12
"504" 19802 793 11
"505" 19795 912 11
"506" 19823 408 10
"507" 19823 473 10
"508" 19827 188 12
"509" 19803 863 9
"510" 19830 220 8
"511" 19827 330 10
"512" 19808 820 1
"513" 19839 6 10
"514" 19841 31 1
"515" 19820 875 12
"516" 19825 788 8
"517" 19827 456 12
"518" 19840 230 11
"519" 19840 246 8
"520" 19850 300 1
"521" 19833 638 10
"522" 19849 361 1
"523" 19855 27 11
"524" 19821 674 12
"525" 19832 832 10
"526" 19817 705 9
"527" 19852 267 8
"528" 19861 173 6
"529" 19827 966 10
"530" 19843 652 10
"531" 19854 438 11
"532" 19867 66 10
"533" 19852 392 11
"534" 19848 758 12
"535" 19873 17 11
"536" 19862 420 1
"537" 19872 90 8
"538" 19863 279 12
"539" 19867 330 9
"540" 19867 388 9
"541" 19872 245 1
"542" 19839 720 8
"543" 19856 482 11
"544" 19856 769 12
"545" 19864 681 0
"546" 19875 611 11
"547" 19868 550 11
"548" 19872 823 11
"549" 19880 672 1
"550" 19877 756 7
"551" 19886 438 12
"552" 19892 84 12
"553" 19897 50 1
"554" 19870 467 1
"555" 19885 206 10
"556" 19868 729 11
"557" 19886 574 11
"558" 19886 594 7
"559" 19890 291 12
"560" 19860 997 12
"561" 19903 16 12
"562" 19890 365 11
"563" 19885 453 9
"564" 19882 326 12
"565" 19905 84 8
"566" 19904 116 1
"567" 19899 404 12
"568" 19881 499 11
"569" 19898 204 10
"570" 19896 618 12
"571" 19889 645 12
"572" 19904 468 12
"573" 19906 381 7
"574" 19887 943 10
"575" 19903 713 10
"576" 19915 114 11
"577" 19894 676 10
"578" 19919 79 10
"579" 19900 550 13
"580" 19884 898 8
"581" 19910 567 8
"582" 19891 748 12
"583" 19907 488 8
"584" 19910 637 1
"585" 19888 815 11
"586" 19915 331 8
"587" 19917 383 10
"588" 19921 261 1
"589" 19929 53 11
"590" 19908 725 6
"591" 19913 519 10
"592" 19929 127 7
"593" 19928 151 10
"594" 19910 893 10
"595" 19924 358 12
"596" 19907 765 13
"597" 19902 811 12
"598" 19927 233 9
"599" 19914 438 12
"600" 19888 926 11
"601" 19921 823 8
"602" 19921 865 11
"603" 19933 310 11
"604" 19919 586 11
"605" 19923 465 12
"606" 19909 850 1
"607" 19933 457 8
"608" 19924 682 12
"609" 19937 263 1
"610" 19938 201 1
"611" 19932 645 12
"612" 19930 584 6
"613" 19929 543 1
"614" 19918 615 11
"615" 19914 792 12
"616" 19927 663 12
"617" 19947 6 9
"618" 19946 170 8
"619" 19944 275 11
"620" 19949 97 12
"621" 19944 501 11
"622" 19938 689 10
"623" 19958 220 12
"624" 19941 846 11
"625" 19958 314 11
"626" 19958 360 9
"627" 19963 159 12
"628" 19944 592 11
"629" 19956 547 10
"630" 19951 576 12
"631" 19936 961 11
"632" 19939 668 7
"633" 19964 180 13
"634" 19950 767 9
"635" 19954 244 7
"636" 19947 305 6
"637" 19965 383 10
"638" 19962 199 7
"639" 19958 616 11
"640" 19947 486 12
"641" 19953 345 5
"642" 19964 413 7
"643" 19951 793 8
"644" 19935 735 10
"645" 19977 107 7
"646" 19946 822 6
"647" 19980 31 10
"648" 19958 695 8
"649" 19980 59 1
"650" 19974 264 12
"651" 19955 440 0
"652" 19983 88 11
"653" 19974 518 9
"654" 19981 413 8
"655" 19954 653 13
"656" 19978 722 7
"657" 19975 561 7
"658" 19987 222 9
"659" 19956 998 10
"660" 19965 906 5
"661" 19971 844 10
"662" 19966 980 7
"663" 19955 669 12
"664" 19975 940 10
"665" 19987 281 8
"666" 19988 110 7
"667" 19987 322 11
"668" 20003 60 7
"669" 19985 457 10
"670" 20001 303 12
"671" 19997 281 12
"672" 20001 313 10
"673" 20001 369 9
"674" 19982 386 13
"675" 19993 349 11
"676" 19955 953 7
"677" 19989 233 11
"678" 20006 241 1
"679" 20005 112 7
"680" 19968 969 11
"681" 20012 6 10
"682" 20012 37 6
"683" 19992 739 4
"684" 19994 573 12
"685" 19984 783 8
"686" 19995 719 4
"687" 19986 692 8
"688" 19985 766 1
"689" 20003 546 1
"690" 20010 200 7
"691" 19991 917 7
"692" 19989 593 10
"693" 19999 791 12
"694" 20018 269 10
"695" 19982 823 7
"696" 20027 80 1
"697" 20018 857 11
"698" 20019 513 11
"699" 20010 773 6
"700" 20034 68 11
"701" 20021 433 10
"702" 20032 198 8
"703" 20029 388 12
"704" 20015 600 12
"705" 20007 950 10
"706" 20028 125 7
"707" 20033 412 12
"708" 20030 315 11
"709" 20036 349 1
"710" 20024 462 8
"711" 20021 969 7
"712" 20045 55 7
"713" 20012 745 8
"714" 20034 846 10
