"x" "y" "z"
"1" 9765 845 1
"2" 9793 917 10
"3" 9793 977 9
"4" 9806 906 11
"5" 9804 961 5
"6" 9813 886 10
"7" 9825 891 4
"8" 9814 811 11
"9" 9828 917 5
"10" 9819 927 11
"11" 9839 854 11
"12" 9833 956 10
"13" 9847 678 8
"14" 9837 841 10
"15" 9854 714 5
"16" 9857 263 7
"17" 9847 985 10
"18" 9852 782 10
"19" 9874 694 9
"20" 9864 815 9
"21" 9855 891 10
"22" 9865 805 3
"23" 9881 366 11
"24" 9869 577 10
"25" 9876 670 11
"26" 9884 566 9
"27" 9889 191 9
"28" 9892 306 11
"29" 9878 849 3
"30" 9860 928 10
"31" 9851 960 11
"32" 9889 329 11
"33" 9873 978 10
"34" 9885 714 3
"35" 9907 171 9
"36" 9905 193 8
"37" 9907 225 5
"38" 9906 251 11
"39" 9885 991 1
"40" 9900 848 9
"41" 9893 824 7
"42" 9890 908 10
"43" 9906 829 7
"44" 9905 746 9
"45" 9899 546 5
"46" 9912 787 11
"47" 9911 542 9
"48" 9911 572 3
"49" 9922 275 6
"50" 9911 585 10
"51" 9919 411 9
"52" 9886 875 11
"53" 9920 326 5
"54" 9930 297 9
"55" 9919 433 11
"56" 9920 508 11
"57" 9919 632 7
"58" 9931 98 5
"59" 9914 695 10
"60" 9938 135 9
"61" 9918 852 6
"62" 9934 761 8
"63" 9924 977 10
"64" 9937 420 5
"65" 9937 483 11
"66" 9941 579 9
"67" 9936 963 7
"68" 9948 103 9
"69" 9939 535 7
"70" 9939 668 4
"71" 9959 153 10
"72" 9959 192 11
"73" 9951 403 10
"74" 9938 777 11
"75" 9958 440 11
"76" 9947 613 10
"77" 9931 901 0
"78" 9939 872 10
"79" 9948 273 9
"80" 9953 451 10
"81" 9957 667 9
"82" 9974 26 7
"83" 9965 253 8
"84" 9949 829 11
"85" 9968 376 8
"86" 9965 450 10
"87" 9968 525 1
"88" 9973 214 10
"89" 9988 6 7
"90" 9962 698 9
"91" 9989 308 9
"92" 9974 710 11
"93" 9986 552 10
"94" 9989 389 9
"95" 9973 479 1
"96" 9971 744 11
"97" 9966 933 8
"98" 9966 975 1
"99" 9970 774 10
"100" 9976 591 11
"101" 10001 61 10
"102" 9995 256 11
"103" 10004 197 10
"104" 9988 509 11
"105" 10006 269 9
"106" 10010 140 10
"107" 10001 675 6
"108" 10008 93 0
"109" 9988 602 11
"110" 9990 826 9
"111" 10017 33 10
"112" 9994 628 10
"113" 10002 464 10
"114" 9973 853 11
"115" 9998 889 11
"116" 10002 705 11
"117" 10022 133 9
"118" 9995 987 9
"119" 10008 578 10
"120" 10027 312 9
"121" 10013 476 10
"122" 10024 646 7
"123" 10016 821 12
"124" 10030 344 10
"125" 10033 76 9
"126" 9993 949 11
"127" 10012 655 10
"128" 10004 850 1
"129" 10033 405 10
"130" 10004 907 10
"131" 10042 18 10
"132" 10039 294 9
"133" 10046 63 11
"134" 10023 803 10
"135" 10036 205 11
"136" 10031 669 11
"137" 10026 505 11
"138" 10043 451 6
"139" 10027 758 11
"140" 10051 165 1
"141" 10033 863 10
"142" 10027 885 11
"143" 10023 951 1
"144" 10043 621 9
"145" 10046 579 10
"146" 10038 559 11
"147" 10040 981 11
"148" 10032 620 11
"149" 10066 40 11
"150" 10065 103 11
"151" 10055 496 11
"152" 10060 145 10
"153" 10044 529 11
"154" 10063 537 11
"155" 10041 846 8
"156" 10049 928 9
"157" 10065 707 11
"158" 10063 739 6
"159" 10037 799 11
"160" 10068 432 10
"161" 10051 846 11
"162" 10074 82 5
"163" 10074 113 11
"164" 10070 93 9
"165" 10074 273 11
"166" 10083 13 4
"167" 10086 148 9
"168" 10061 383 10
"169" 10067 602 0
"170" 10089 53 11
"171" 10060 902 1
"172" 10089 210 10
"173" 10085 455 11
"174" 10084 194 11
"175" 10087 551 11
"176" 10062 804 10
"177" 10070 516 6
"178" 10098 26 11
"179" 10064 473 5
"180" 10078 985 11
"181" 10080 874 11
"182" 10092 911 11
"183" 10113 106 10
"184" 10100 392 10
"185" 10091 843 11
"186" 10115 46 11
"187" 10119 74 11
"188" 10100 800 9
"189" 10120 15 7
"190" 10115 177 10
"191" 10111 341 11
"192" 10105 631 11
"193" 10118 323 10
"194" 10114 586 10
"195" 10111 689 1
"196" 10130 24 11
"197" 10115 964 9
"198" 10125 120 9
"199" 10139 86 1
"200" 10122 725 11
"201" 10123 466 11
"202" 10117 912 9
"203" 10145 10 11
"204" 10097 939 1
"205" 10135 549 10
"206" 10143 266 8
"207" 10132 505 10
"208" 10137 307 8
"209" 10132 634 10
"210" 10129 769 7
"211" 10147 152 11
"212" 10138 384 9
"213" 10140 466 9
"214" 10147 436 11
"215" 10153 518 1
"216" 10159 104 3
"217" 10148 718 8
"218" 10152 389 7
"219" 10149 836 11
"220" 10152 453 7
"221" 10160 171 10
"222" 10155 362 10
"223" 10168 118 9
"224" 10167 83 9
"225" 10139 974 9
"226" 10159 731 11
"227" 10170 552 8
"228" 10158 593 1
"229" 10161 765 11
"230" 10177 421 11
"231" 10168 716 11
"232" 10175 181 8
"233" 10157 936 1
"234" 10137 910 8
"235" 10176 456 11
"236" 10162 653 1
"237" 10186 144 9
"238" 10171 311 11
"239" 10166 817 10
"240" 10169 389 9
"241" 10194 25 1
"242" 10187 601 9
"243" 10186 686 11
"244" 10199 63 11
"245" 10171 487 6
"246" 10200 172 11
"247" 10183 332 9
"248" 10200 362 1
"249" 10181 623 11
"250" 10197 460 7
"251" 10190 854 11
"252" 10180 470 10
"253" 10173 959 7
"254" 10192 735 1
"255" 10178 777 9
"256" 10206 271 10
"257" 10214 59 8
"258" 10183 661 10
"259" 10212 10 11
"260" 10212 216 11
"261" 10208 491 10
"262" 10210 549 12
"263" 10212 420 10
"264" 10219 383 9
"265" 10216 645 10
"266" 10209 782 11
"267" 10232 145 9
"268" 10214 399 11
"269" 10202 927 7
"270" 10202 966 11
"271" 10233 349 10
"272" 10230 75 1
"273" 10239 103 11
"274" 10222 868 7
"275" 10220 745 9
"276" 10218 947 6
"277" 10232 327 11
"278" 10226 690 9
"279" 10243 134 8
"280" 10243 204 8
"281" 10250 59 11
"282" 10232 392 8
"283" 10229 637 6
"284" 10244 293 8
"285" 10227 915 10
"286" 10221 987 7
"287" 10259 32 9
"288" 10249 232 11
"289" 10249 372 11
"290" 10234 606 10
"291" 10244 782 1
"292" 10267 19 4
"293" 10260 504 11
"294" 10263 268 10
"295" 10255 306 10
"296" 10263 336 9
"297" 10234 884 9
"298" 10252 618 11
"299" 10260 751 7
"300" 10268 366 8
"301" 10273 144 10
"302" 10261 635 8
"303" 10248 875 10
"304" 10266 314 9
"305" 10281 12 9
"306" 10259 699 9
"307" 10261 913 10
"308" 10275 113 9
"309" 10270 522 9
"310" 10278 647 11
"311" 10286 94 10
"312" 10254 965 10
"313" 10286 223 9
"314" 10294 66 10
"315" 10268 1003 8
"316" 10296 109 5
"317" 10280 635 11
"318" 10286 304 1
"319" 10299 25 11
"320" 10277 722 1
"321" 10272 830 10
"322" 10288 588 10
"323" 10284 935 1
"324" 10275 781 11
"325" 10290 511 10
"326" 10282 857 10
"327" 10296 468 10
"328" 10289 900 7
"329" 10312 21 11
"330" 10313 133 11
"331" 10286 889 10
"332" 10305 296 11
"333" 10286 986 11
"334" 10315 166 9
"335" 10295 836 7
"336" 10297 744 10
"337" 10304 636 6
"338" 10304 676 10
"339" 10304 705 11
"340" 10328 201 10
"341" 10325 259 10
"342" 10317 581 11
"343" 10311 426 11
"344" 10325 484 0
"345" 10325 638 10
"346" 10293 772 7
"347" 10328 832 8
"348" 10318 919 10
"349" 10331 110 10
"350" 10322 738 1
"351" 10318 999 7
"352" 10308 959 11
"353" 10307 835 11
"354" 10308 981 11
"355" 10331 291 11
"356" 10343 15 10
"357" 10316 794 11
"358" 10325 880 7
"359" 10347 229 10
"360" 10335 162 11
"361" 10334 388 10
"362" 10340 339 11
"363" 10332 698 11
"364" 10329 552 10
"365" 10341 450 11
"366" 10337 616 11
"367" 10334 979 11
"368" 10333 759 9
"369" 10343 326 9
"370" 10352 505 9
"371" 10342 903 6
"372" 10361 131 11
"373" 10341 810 11
"374" 10357 597 1
"375" 10359 234 11
"376" 10336 639 7
"377" 10355 358 1
"378" 10344 889 11
"379" 10347 850 5
"380" 10344 940 9
"381" 10361 272 11
"382" 10361 283 8
"383" 10352 661 11
"384" 10372 86 8
"385" 10345 862 11
"386" 10363 393 10
"387" 10364 706 3
"388" 10377 106 7
"389" 10359 650 10
"390" 10378 221 11
"391" 10374 314 11
"392" 10365 870 8
"393" 10376 28 10
"394" 10369 725 10
"395" 10376 197 11
"396" 10374 440 11
"397" 10386 261 10
"398" 10378 534 9
"399" 10386 444 9
"400" 10380 352 9
"401" 10373 919 11
"402" 10380 566 9
"403" 10388 70 9
"404" 10381 467 9
"405" 10389 137 11
"406" 10396 231 6
"407" 10366 976 11
"408" 10382 681 10
"409" 10385 487 12
"410" 10385 618 10
"411" 10374 835 11
"412" 10406 42 9
"413" 10388 513 10
"414" 10385 768 1
"415" 10389 801 10
"416" 10398 211 5
"417" 10403 591 1
"418" 10412 171 10
"419" 10407 98 10
"420" 10374 949 11
"421" 10393 348 11
"422" 10412 314 10
"423" 10417 194 11
"424" 10394 878 6
"425" 10394 926 5
"426" 10402 512 9
"427" 10401 731 10
"428" 10415 388 10
"429" 10407 402 10
"430" 10427 128 9
"431" 10415 438 11
"432" 10426 70 6
"433" 10390 956 3
"434" 10397 986 11
"435" 10412 702 10
"436" 10420 889 11
"437" 10408 822 1
"438" 10407 939 3
"439" 10433 92 11
"440" 10436 215 6
"441" 10431 225 11
"442" 10422 473 1
"443" 10430 992 11
"444" 10429 622 11
"445" 10408 961 11
"446" 10446 51 7
"447" 10422 916 11
"448" 10440 358 1
"449" 10412 982 4
"450" 10431 801 11
"451" 10444 198 7
"452" 10441 606 9
"453" 10436 898 5
"454" 10436 925 11
"455" 10437 718 8
"456" 10453 9 7
"457" 10446 268 10
"458" 10449 152 11
"459" 10455 200 11
"460" 10458 62 11
"461" 10461 239 11
"462" 10453 141 7
"463" 10455 497 8
"464" 10465 332 9
"465" 10445 657 6
"466" 10470 119 11
"467" 10463 139 8
"468" 10458 609 6
"469" 10471 162 6
"470" 10466 509 11
"471" 10453 445 11
"472" 10451 483 8
"473" 10468 374 10
"474" 10463 297 10
"475" 10475 106 6
"476" 10450 693 11
"477" 10458 826 11
"478" 10471 651 8
"479" 10471 727 10
"480" 10457 635 11
"481" 10481 276 10
"482" 10483 89 5
"483" 10472 633 7
"484" 10465 800 7
"485" 10466 905 6
"486" 10470 832 7
"487" 10489 15 11
"488" 10491 41 9
"489" 10482 299 7
"490" 10488 228 10
"491" 10457 947 10
"492" 10486 415 9
"493" 10491 467 11
"494" 10468 858 7
"495" 10467 981 11
"496" 10494 178 9
"497" 10488 607 8
"498" 10450 921 5
"499" 10503 67 10
"500" 10496 487 9
"501" 10487 680 10
"502" 10488 976 7
"503" 10507 267 6
"504" 10504 112 11
"505" 10503 219 9
"506" 10490 801 11
"507" 10500 647 8
"508" 10490 849 11
"509" 10510 335 11
"510" 10493 962 11
"511" 10513 508 10
"512" 10487 989 4
"513" 10497 713 8
"514" 10512 447 9
"515" 10482 869 11
"516" 10516 256 10
"517" 10518 188 6
"518" 10517 354 9
"519" 10516 397 10
"520" 10526 27 11
"521" 10524 210 11
"522" 10525 117 5
"523" 10518 497 9
"524" 10526 152 9
"525" 10512 843 7
"526" 10502 590 8
"527" 10515 291 9
"528" 10531 72 5
"529" 10526 292 10
"530" 10511 650 11
"531" 10519 538 10
"532" 10511 717 10
"533" 10537 320 11
"534" 10536 187 4
